nl,fr
"een grote paal","un grand poteau"
"de paal zien","voir le poteau"
"voorbij de paal komen","passer devant le poteau"
"Opgelet, het glijdt!","Attention, ça glisse !"
"uitglijden in de straat","glisser dans la rue"
"Hij is uitgegleden.","Il a glissé."
"een lelijke val","une mauvaise chute"
"een val maken","faire une chute"
"als gevolg van zijn val","à la suite de sa chute"
"Val niet!","Ne tombe pas !"
"van de trap vallen","tomber dans les escaliers"
"op de grond vallen","tomber par terre"
"aan de politie ontsnappen","échapper à la police"
"De hond is ontsnapt.","Le chien s'est échappé."
"aan een ongeval ontsnappen","échapper à un accident"
"een botbreuk aan de voet","une fracture du pied"
"Hij heeft botbreuken.","Il a des fractures."
"een kleine botbreuk","une petite fracture"
"binnen twee jaar","d'ici deux ans"
"tegen morgen","d'ici demain"
"binnen vijf minuten","d'ici cinq minutes"
"Ik kijk gewoon even, mevrouw.","Je regarde juste, madame."
"Ik ga gewoon even kijken.","Je vais juste regarder."
"Wij kijken gewoon even.","Nous regardons juste."
"Ik heb de bus gepakt.","J'ai pris le bus."
"Ik heb een mes gepakt.","J'ai pris un couteau."
"Ik heb mijn koffer gepakt.","J'ai pris ma valise."
"Ik zou nee moeten zeggen.","Je devrais dire non."
"Ik zou moeten vertrekken.","Je devrais partir."
"Ik zou meer moeten slapen.","Je devrais dormir plus."
"Ik zou niet ver weg moeten zijn.","Je ne devrais pas être loin."
"Ik zou thuis moeten zijn.","Je devrais être à la maison."
"Ik zou daar niet moeten zijn.","Je ne devrais pas être là."
"een zware koffer","une valise lourde"
"zijn koffer inpakken","faire sa valise"
"een koffer dragen","porter une valise"
"op het bed gaan liggen","s'allonger sur le lit"
"op de grond gaan liggen","s'allonger par terre"
"Ik ga even liggen.","Je vais m'allonger un peu."
"vroeg naar bed gaan","se coucher tôt"
"laat naar bed gaan","se coucher tard"
"De kinderen gaan naar bed.","Les enfants se couchent."
"goed slapen","bien dormir"
"Slaap je?","Tu dors ?"
"Ik heb goed geslapen.","J'ai bien dormi."
"Ik heb overal gezocht.","J'ai cherché partout."
"overal in de stad","partout dans la ville"
"Er is overal water.","Il y a de l'eau partout."
"Vanaf nu is het mogelijk.","Dès à présent, c'est possible."
"vanaf nu beginnen","commencer dès à présent"
"Vanaf nu doe ik een inspanning.","Dès à présent, je fais un effort."
"een nabijgelegen school","une école proche"
"Het station is dichtbij.","La gare est proche."
"dicht bij het huis","proche de la maison"
"Kom meteen!","Viens tout de suite !"
"Ik kom meteen.","J'arrive tout de suite."
"meteen antwoorden","répondre tout de suite"
"Het is hetzelfde.","C'est pareil."
"Het is niet hetzelfde.","Ce n'est pas pareil."
"Zij doen hetzelfde.","Ils font pareil."
"elders leven","vivre ailleurs"
"elders eten","manger ailleurs"
"Ik ga elders kijken.","Je vais regarder ailleurs."
"door het slechte weer","à cause du mauvais temps"
"door de regen","à cause de la pluie"
"Door hem komen we te laat.","À cause de lui, nous arrivons en retard."
"dankzij jouw hulp","grâce à ton aide"
"dankzij zijn vrienden","grâce à ses amis"
"Dankzij jou heb ik een oplossing gevonden.","Grâce à toi, j'ai trouvé une solution."
"als gevolg van een ongeval","à la suite d'un accident"
"als gevolg van de oorlog","à la suite de la guerre"
"als gevolg van de wedstrijd","à la suite du match"
"Het is ongeveer 40 euro.","C'est dans les 40 euros."
"Hij is ongeveer 40 jaar.","Il a dans les 40 ans."
"ongeveer 100 euro betalen","payer dans les 100 euros"
"de kleine teen","le petit orteil"
"de grote teen","le gros orteil"
"Ik heb koude tenen.","J'ai froid aux orteils."
"een zachte huid","une peau douce"
"de huid van het gezicht","la peau du visage"
"een dikke huid","une peau épaisse"
"een rommelige kamer","une chambre désordonnée"
"een rommelig huis","une maison désordonnée"
"Hij is rommelig (slordig).","Il est désordonné."
"Dat verandert niets.","Cela ne change rien."
"Ik weet dat.","Je sais cela."
"Dat gebeurt vaak.","Ça arrive souvent."
"Luister naar dit.","Écoutez ceci."
"Lees dit.","Lisez ceci."
"Dit is voor jou.","Ceci est pour toi."
"voorbij de school komen","passer devant l'école"
"voorbij het station komen","passer devant la gare"
"Wij komen voorbij de winkel.","Nous passons devant le magasin."
"bang zijn voor de hond","avoir peur du chien"
"Ik heb geen angst.","Je n'ai pas peur."
"bang zijn om te vallen","avoir peur de tomber"
"verdrietig zijn","être triste"
"een verdrietig verhaal","une histoire triste"
"Zij is heel verdrietig.","Elle est très triste."
"liever vandaag dan morgen","plutôt aujourd'hui que demain"
"Ik ga liever te voet.","Je vais plutôt à pied."
"eerder klein","plutôt petit"
"verkouden zijn","être enrhumé"
"Ik ben verkouden.","Je suis enrhumé."
"Hij is een beetje verkouden.","Il est un peu enrhumé."
"Gezondheid!","À tes souhaits !"
"Gezondheid! (beleefd)","À vos souhaits !"
"'Gezondheid!', zegt ze.","« À tes souhaits ! », dit-elle."
"Ik heb niets gezegd.","Je n'ai rien dit."
"Ik heb ja gezegd.","J'ai dit oui."
"Ik heb het al gezegd.","Je l'ai déjà dit."
"Ik heb hem/haar nee gezegd.","Je lui ai dit non."
"Ik heb haar alles gezegd.","Je lui ai tout dit."
"Ik heb hem gezegd te komen.","Je lui ai dit de venir."
"een dik boek","un livre épais"
"een dikke pullover","un pull épais"
"Het is te dik.","C'est trop épais."
"richting het station gaan","aller vers la gare"
"rond acht uur","vers huit heures"
"naar de uitgang stappen","marcher vers la sortie"
