nl,fr
"een brood kopen","acheter un pain"
"een computer kopen","acheter un ordinateur"
"kleren voor zichzelf kopen","s'acheter des vêtements"
"een beetje water toevoegen","ajouter un peu d'eau"
"toegevoegd worden aan","s'ajouter à"
"de oprichting van iets aankondigen","annoncer la création de qqch."
"Wij hebben het genoegen u zijn huwelijk aan te kondigen.","Nous avons le plaisir de vous annoncer son mariage."
"op iets letten","faire attention à qqch."
"zijn aandacht verliezen","perdre son attention"
"Hoeveel geld heb je bij je?","Combien d'argent as-tu sur toi ?"
"Hoeveel weegt u?","Combien pesez-vous ?"
"de trap afdalen","descendre les escaliers"
"de berg afdalen","descendre la montagne"
"uit het vliegtuig stappen","descendre de l'avion"
"het recht hebben om iets te doen","avoir le droit de faire qqch."
"het stemrecht","le droit de vote"
"Hij organiseert ook een ander festival.","Il organise également un autre festival."
"een groot geheel","un vaste ensemble"
"de hele bevolking","l'ensemble de la population"
"zin hebben in chocolade","avoir envie de chocolat"
"echt zin hebben om naar buiten te gaan","avoir vraiment envie de sortir"
"hopen gelijk te hebben","espérer avoir raison"
"op een mirakel hopen","espérer un miracle"
"Ik hoop hem te zien.","J'espère le voir."
"Ik hoop geslaagd te zijn.","J'espère avoir réussi."
"in goede gezondheid zijn","être en bon état de santé"
"in slechte staat zijn","être en mauvais état"
"de Belgische staat","l'État belge"
"een sterke stijging","une forte hausse"
"een sterke persoonlijkheid","une forte personnalité"
"gek worden","devenir fou"
"iemand gek maken","rendre qqn fou"
"gek zijn op iets","être fou de qqch."
"een knotsgek avontuur","une folle aventure"
"een verlegen jongen","un garçon timide"
"een virtueel beeld","une image virtuelle"
"een sterk beeld","une image forte"
"een oplossing bedenken","imaginer une solution"
"een verhaal verzinnen","imaginer une histoire"
"zich van alles inbeelden","s'imaginer des histoires"
"een belangrijke som","une somme importante"
"een belangrijke rol","un rôle important"
"iets in de vuilnisbak gooien","jeter qqch. à la poubelle"
"een blik werpen op iets","jeter un regard sur qqch."
"Hij gooit de bal naar mij.","Il me jette la balle."
"de jongeren helpen","aider les jeunes"
"een jongere aanwerven","recruter un jeune"
"de eerste dag","la première journée"
"een lange dag","une longue journée"
"een open dag, een opendeurdag","une journée portes ouvertes"
"een product lanceren","lancer un produit"
"Laten we een solidariteitsactie starten.","Lançons une action de solidarité."
"zich in de politiek begeven","se lancer dans la politique"
"aan een avontuur beginnen","se lancer dans une aventure"
"een brief sturen","envoyer une lettre"
"een brief openen","ouvrir une lettre"
"een dubbel bed","un lit double"
"gaan slapen","se mettre au lit"
"uit bed komen","sortir du lit"
"over een wet stemmen","voter une loi"
"de wet respecteren","respecter la loi"
"een wet betreffende iets","une loi relative à qqch."
"bij wet verboden","interdit par la loi"
"Dag mevrouw.","Bonjour madame."
"Goedenavond dames.","Bonsoir mesdames."
"slecht nieuws","une mauvaise nouvelle"
"slechtgehumeurd (onzeker, controleer scan)","de mauvaise humeur"
"een slechte herinnering","un mauvais souvenir"
"de beste manier","la meilleure façon"
"de beste speler","le meilleur joueur"
"een politieke partij","un parti politique"
"lid worden van een partij","adhérer à un parti"
"een uniek stuk","une pièce unique"
"stukken samenvoegen","assembler des pièces"
"een toneelstuk schrijven","écrire une pièce"
"een plan uitwerken","élaborer un plan"
"een plan lanceren","lancer un plan"
"een herstelplan","un plan de relance"
"zo veel mogelijk","le plus possible"
"zo weinig mogelijk","le moins possible"
"de best mogelijke","le meilleur possible"
"Dat is heel goed mogelijk.","C'est bien possible."
"volgend jaar","l'année prochaine"
"in de loop van de volgende dagen","dans les prochains jours"
"een oplossing voorstellen","proposer une solution"
"een dienst voorstellen","proposer un service"
"een schoon huis","une maison propre"
"met eigen middelen","par ses propres moyens"
"deze jongen herkennen","reconnaitre ce garçon"
"een fout erkennen","reconnaitre une erreur"
"We hebben haar herkend.","Nous l'avons reconnue."
"elkaar herkennen","se reconnaitre"
"een kritische blik","un regard critique"
"een blik werpen op iets","jeter un regard sur qqch."
"de regio rond Parijs","la région parisienne"
"zijn geboortestreek","sa région natale"
"opnieuw op orde brengen","remettre de l'ordre"
"iets opnieuw ter discussie stellen","remettre qqch. en question"
"herstellen na een ziekte","se remettre d'une maladie"
"vrienden ontmoeten","rencontrer des amis"
"met problemen geconfronteerd worden","rencontrer des difficultés"
"elkaar ontmoeten","se rencontrer"
"naar zijn land terugkeren","retourner dans son pays"
"terugkeren met de trein","retourner en train"
"zich omdraaien om beter te kunnen zien","se retourner pour mieux voir"
"rode wijn","du vin rouge"
"een rode kaart","un carton rouge"
"de badkamer","la salle de bains"
"een filmzaal","une salle de cinéma"
"een klaslokaal","une salle de classe"
"een wachtkamer","une salle d'attente"
"een volle zaal","une salle pleine"
"bloed doneren","donner du sang"
"het bloed vloeit","le sang coule"
"een bloedafname","une prise de sang"
"de goede richting nemen","prendre le bon sens"
"een straat met eenrichtingsverkeer","une rue à sens unique"
"allerlei zaken","toutes sortes de choses"
"de tafel dekken","mettre la table"
"aan tafel plaatsnemen","s'assoir à table"
"tafeltennis","le tennis de table"
"de inhoudsopgave","la table des matières"
"een dergelijke maatregel","une telle mesure"
"zodoende dat","de telle sorte que"
"met de vinger aanraken","toucher du doigt"
"een salaris ontvangen","toucher un salaire"
"elkaar aanraken","se toucher"
"de moeite waard zijn","valoir la peine"
"de omweg waard zijn","valoir le détour"
"Is het de moeite waard?","Cela vaut la peine ?"
